样本类型,样本量,最小值,最大值,平均值,标准差,变异系数(%)
SNSB - 总体样本 - 易氧化有机碳(mg/g),278,0.94,7.87,3.19,1.08,33.78
SNSB - 训练样本 - 易氧化有机碳(mg/g),215,0.94,7.16,3.12,1.01,32.55
SNSB - 验证样本 - 易氧化有机碳(mg/g),63,1.27,7.87,3.45,1.24,35.85
SNSB - 总体样本 - 有机碳含量(g/kg),278,3.83,37.05,12.81,4.66,36.40
SNSB - 训练样本 - 有机碳含量(g/kg),215,3.84,37.05,12.97,4.71,36.27
SNSB - 验证样本 - 有机碳含量(g/kg),63,3.83,23.50,12.25,4.47,36.50
SNSB - 总体样本 - 水溶性有机碳(mg/g),278,0.05,1.12,0.45,0.19,42.88
SNSB - 训练样本 - 水溶性有机碳(mg/g),215,0.05,1.12,0.48,0.20,41.06
SNSB - 验证样本 - 水溶性有机碳(mg/g),63,0.05,0.69,0.34,0.12,36.21
SNDBE - 总体样本 - 易氧化有机碳(mg/g),278,0.94,7.87,3.19,1.08,33.78
SNDBE - 训练样本 - 易氧化有机碳(mg/g),215,0.94,7.16,3.12,1.01,32.55
SNDBE - 验证样本 - 易氧化有机碳(mg/g),63,1.27,7.87,3.45,1.24,35.85
SNDBE - 总体样本 - 有机碳含量(g/kg),278,3.83,37.05,12.81,4.66,36.40
SNDBE - 训练样本 - 有机碳含量(g/kg),215,3.84,37.05,12.97,4.71,36.27
SNDBE - 验证样本 - 有机碳含量(g/kg),63,3.83,23.50,12.25,4.47,36.50
SNDBE - 总体样本 - 水溶性有机碳(mg/g),278,0.05,1.12,0.45,0.19,42.88
SNDBE - 训练样本 - 水溶性有机碳(mg/g),215,0.05,1.12,0.48,0.20,41.06
SNDBE - 验证样本 - 水溶性有机碳(mg/g),63,0.05,0.69,0.34,0.12,36.21
SNSBSD - 总体样本 - 易氧化有机碳(mg/g),278,0.94,7.87,3.19,1.08,33.78
SNSBSD - 训练样本 - 易氧化有机碳(mg/g),215,0.94,7.16,3.12,1.01,32.55
SNSBSD - 验证样本 - 易氧化有机碳(mg/g),63,1.27,7.87,3.45,1.24,35.85
SNSBSD - 总体样本 - 有机碳含量(g/kg),278,3.83,37.05,12.81,4.66,36.40
SNSBSD - 训练样本 - 有机碳含量(g/kg),215,3.84,37.05,12.97,4.71,36.27
SNSBSD - 验证样本 - 有机碳含量(g/kg),63,3.83,23.50,12.25,4.47,36.50
SNSBSD - 总体样本 - 水溶性有机碳(mg/g),278,0.05,1.12,0.45,0.19,42.88
SNSBSD - 训练样本 - 水溶性有机碳(mg/g),215,0.05,1.12,0.48,0.20,41.06
SNSBSD - 验证样本 - 水溶性有机碳(mg/g),63,0.05,0.69,0.34,0.12,36.21
SNSBESD - 总体样本 - 易氧化有机碳(mg/g),278,0.94,7.87,3.19,1.08,33.78
SNSBESD - 训练样本 - 易氧化有机碳(mg/g),215,0.94,7.16,3.12,1.01,32.55
SNSBESD - 验证样本 - 易氧化有机碳(mg/g),63,1.27,7.87,3.45,1.24,35.85
SNSBESD - 总体样本 - 有机碳含量(g/kg),278,3.83,37.05,12.81,4.66,36.40
SNSBESD - 训练样本 - 有机碳含量(g/kg),215,3.84,37.05,12.97,4.71,36.27
SNSBESD - 验证样本 - 有机碳含量(g/kg),63,3.83,23.50,12.25,4.47,36.50
SNSBESD - 总体样本 - 水溶性有机碳(mg/g),278,0.05,1.12,0.45,0.19,42.88
SNSBESD - 训练样本 - 水溶性有机碳(mg/g),215,0.05,1.12,0.48,0.20,41.06
SNSBESD - 验证样本 - 水溶性有机碳(mg/g),63,0.05,0.69,0.34,0.12,36.21
